% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
1.296460000000000E+010,-2.696114125735247E+001,-1.832187643190670E-001,-1.910375169241713E-001,-2.819866017827156E+001,
1.308455000000000E+010,-2.563537655567644E+001,-1.837145668336119E-001,-1.951392253558307E-001,-2.683625485041314E+001,
1.320450000000000E+010,-2.599368141843396E+001,-1.798559075596773E-001,-1.993473543713915E-001,-2.626761937342226E+001,
1.332445000000000E+010,-2.760105876631727E+001,-1.884140852533875E-001,-2.018423724377117E-001,-2.604207585583177E+001,
1.344440000000000E+010,-2.891700582303223E+001,-1.938722549567236E-001,-2.116708463438199E-001,-2.621156704070247E+001,
1.356435000000000E+010,-2.856067660179953E+001,-2.029046977096175E-001,-2.337239114343555E-001,-2.706940336078852E+001,
1.368430000000000E+010,-2.663632852516867E+001,-2.130889678797757E-001,-2.344838603072230E-001,-2.810031902468418E+001,
1.380425000000000E+010,-2.541449886718094E+001,-2.274778753733850E-001,-2.290438273126044E-001,-2.908538582607736E+001,
1.392420000000000E+010,-2.602675733420923E+001,-2.181931010223264E-001,-1.989652963887308E-001,-3.098717529809564E+001,
1.404415000000000E+010,-2.771635949778588E+001,-2.102546017151625E-001,-1.827972864463142E-001,-3.353805947031720E+001,
1.416410000000000E+010,-3.083229294422413E+001,-2.172966155337404E-001,-1.817579458384940E-001,-3.648075420932539E+001,
1.428405000000000E+010,-3.577509417881518E+001,-2.194625693620205E-001,-1.890342400449446E-001,-3.902046578612513E+001,
1.440400000000000E+010,-4.129422819302670E+001,-2.066675716108698E-001,-2.048020402873598E-001,-4.062840457455616E+001,
1.452395000000000E+010,-4.088794262345007E+001,-2.013223699099541E-001,-2.037361958689304E-001,-4.006539453799626E+001,
1.464390000000000E+010,-4.359672976191020E+001,-2.018307091852843E-001,-1.982502814621774E-001,-3.859391238516152E+001,
1.476385000000000E+010,-5.614294176977562E+001,-2.055390045504684E-001,-2.049830415257972E-001,-3.700853216666885E+001,
1.488380000000000E+010,-3.719509539412933E+001,-1.919793814510571E-001,-1.960796484795429E-001,-3.566711621308791E+001,
1.500375000000000E+010,-3.150054922662354E+001,-1.894437555732390E-001,-2.063038741199249E-001,-3.548593506501779E+001,
1.512370000000000E+010,-2.910814901725018E+001,-1.758409635924491E-001,-2.291213080141185E-001,-3.340351670779000E+001,
1.524365000000000E+010,-2.930229555065965E+001,-1.817362357139199E-001,-1.979309777204675E-001,-3.311155798516324E+001,
1.536360000000000E+010,-3.082711865078317E+001,-1.676277884483178E-001,-2.131588845634336E-001,-3.255788564413769E+001,
1.548355000000000E+010,-3.389956783659439E+001,-1.712056921319551E-001,-2.153089098624819E-001,-3.132916517713586E+001,
