% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
2.145300000000000E+009,-2.042232900532164E+003,1.521131507805091E+003,6.229787468910217E-001,-6.614442914724350E-002,
2.156850000000000E+009,-1.555560441033948E+002,1.882227208991066E+003,6.123089790344238E-001,-9.534408897161484E-002,
2.168400000000000E+009,1.150870545154195E+003,1.256502939523150E+003,5.951432585716248E-001,-1.160943731665611E-001,
2.179950000000000E+009,9.884293539282584E+003,4.191108881241547E+002,5.755904912948608E-001,-1.334259659051895E-001,
2.191500000000000E+009,2.709559501629889E+003,-2.362783831739508E+003,5.680404305458069E-001,-1.350010633468628E-001,
2.203050000000000E+009,8.037563510775478E+002,-8.028138336765535E+003,5.684338212013245E-001,-1.424803882837296E-001,
2.214600000000000E+009,-5.156535956823677E+003,-6.526723241652441E+003,5.719336271286011E-001,-1.564607024192810E-001,
2.226150000000000E+009,-4.152450176811553E+003,-4.171451450736115E+002,5.803485512733460E-001,-1.768204271793366E-001,
2.237700000000000E+009,-1.502561548641659E+003,1.342940330328415E+003,5.730052590370178E-001,-2.049669623374939E-001,
2.249250000000000E+009,2.487493249730071E+001,3.859992290260738E+003,5.596821904182434E-001,-2.387185692787170E-001,
2.260800000000000E+009,7.501160819798386E+003,6.829415347658663E+003,5.372917056083679E-001,-2.579120099544525E-001,
2.272350000000000E+009,2.706215254529578E+003,-1.687655700850472E+002,5.112933516502380E-001,-2.677657306194305E-001,
2.283900000000000E+009,2.486385476881035E+003,-2.723437642888376E+003,4.987095296382904E-001,-2.700381875038147E-001,
2.295450000000000E+009,-3.665490475730154E+001,-3.090588645679190E+003,4.940303862094879E-001,-2.747494876384735E-001,
2.307000000000000E+009,-3.840174122087821E+003,-3.863138688128846E+003,4.982251226902008E-001,-2.855132818222046E-001,
2.318550000000000E+009,-5.202771319426779E+003,8.877393402863353E+001,4.983049631118774E-001,-3.070024251937866E-001,
2.330100000000000E+009,-1.736668708777615E+003,1.988027391418544E+003,4.887916445732117E-001,-3.310272991657257E-001,
2.341650000000000E+009,2.909206947750058E+002,2.235395377548520E+003,4.739691615104675E-001,-3.595653176307678E-001,
2.353200000000000E+009,2.398725377202333E+003,1.629664003570987E+003,4.464116990566254E-001,-3.776093423366547E-001,
2.364750000000000E+009,1.943573685560383E+003,-4.165300904068121E+002,4.178998470306397E-001,-3.848135769367218E-001,
2.376300000000000E+009,1.449642132222434E+003,-2.138701670012727E+003,4.037795960903168E-001,-3.841100335121155E-001,
2.387850000000000E+009,-1.540661145479950E+003,-9.968124136629560E+003,3.972936570644379E-001,-3.849848806858063E-001,
2.399400000000000E+009,-4.518147722936072E+003,-3.515161044174377E+003,3.894152641296387E-001,-3.877247869968414E-001,
2.410950000000000E+009,-1.338587434059431E+004,1.637565509906167E+003,3.925719857215881E-001,-4.053016901016235E-001,
2.422500000000000E+009,-1.773460513585832E+003,2.447830331000172E+003,3.803846538066864E-001,-4.272565245628357E-001,
2.434050000000000E+009,6.492875571230861E+002,2.860079612590193E+003,3.582207560539246E-001,-4.457398355007172E-001,
2.445600000000000E+009,2.397866117223200E+003,1.306142204122967E+003,3.342385590076447E-001,-4.634120762348175E-001,
2.457150000000000E+009,2.409139271888445E+003,-8.369021785064170E+002,3.057664334774017E-001,-4.691457748413086E-001,
2.468700000000000E+009,2.319018436827806E+003,-4.753780389093206E+003,2.862445712089539E-001,-4.589937031269074E-001,
2.480250000000000E+009,-5.416770507746323E+002,-1.698178624661793E+003,2.760100960731506E-001,-4.579195976257324E-001,
2.491800000000000E+009,-1.047008256519922E+004,-5.874245960067141E+003,2.719233930110931E-001,-4.608188569545746E-001,
2.503350000000000E+009,-2.254928466678815E+003,6.400781475316228E+002,2.690558731555939E-001,-4.714779257774353E-001,
2.514900000000000E+009,-1.033338949021483E+003,1.952354793515718E+003,2.620365917682648E-001,-4.920502901077271E-001,
2.526450000000000E+009,1.368812686442803E+003,3.677125150156801E+003,2.404747605323792E-001,-5.103553533554077E-001,
2.538000000000000E+009,4.700757177618054E+003,1.809588385186594E+003,2.112259864807129E-001,-5.216173529624939E-001,
2.549550000000000E+009,1.505768034194576E+003,-7.475197323580704E+002,1.802634894847870E-001,-5.223522782325745E-001,
2.561100000000000E+009,3.809534159196160E+002,-1.163401345923548E+003,1.591361612081528E-001,-5.155696868896484E-001,
2.572650000000000E+009,-5.875287046991053E+002,-1.197499591032092E+003,1.424095183610916E-001,-5.057413578033447E-001,
2.584200000000000E+009,-2.319852954397858E+003,-8.597938487310934E+002,1.372087001800537E-001,-5.056656599044800E-001,
2.595750000000000E+009,-8.453073632457292E+003,3.683933821893735E+003,1.346204131841660E-001,-5.083290934562683E-001,
2.607300000000000E+009,-9.937928083188482E+002,2.729206578286798E+003,1.230126619338989E-001,-5.201463103294373E-001,
2.618850000000000E+009,7.181091643512536E+002,1.333625819388355E+003,1.010394766926765E-001,-5.363189578056335E-001,
2.630400000000000E+009,2.470232586046213E+003,5.874191168548582E+002,7.021507620811462E-002,-5.441824197769165E-001,
2.641950000000000E+009,6.775001411757633E+003,-4.637565177572279E+003,4.268697276711464E-002,-5.397925972938538E-001,
2.653500000000000E+009,1.066089231696530E+003,-5.719467425059999E+003,2.324547432363033E-002,-5.262586474418640E-001,
2.665050000000000E+009,-9.508107726816007E+002,-1.429913000477790E+003,1.147613022476435E-002,-5.170645713806152E-001,
2.676600000000000E+009,-1.591781415461837E+003,-3.845267742998381E+002,5.971623584628105E-003,-5.093548893928528E-001,
2.688150000000000E+009,-2.543688203503214E+003,1.477106859618841E+003,2.540755551308394E-003,-5.084242224693298E-001,
2.699700000000000E+009,-4.968761921343048E+002,1.958588841355442E+003,-1.050772331655026E-002,-5.190758705139160E-001,
