 >Target_shape 1
     816 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  0.50000  0.50000 0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
       258 2 16 3 1 1 1
       259 3 16 -3 1 1 1
       260 3 16 -2 1 1 1
       261 3 16 -1 1 1 1
       262 3 16 0 1 1 1
       263 3 16 1 1 1 1
       264 3 16 2 1 1 1
       265 -4 17 -3 1 1 1
       266 -4 17 -2 1 1 1
       267 -4 17 -1 1 1 1
       268 -4 17 0 1 1 1
       269 -4 17 1 1 1 1
       270 -4 17 2 1 1 1
       271 -3 17 -4 1 1 1
       272 -3 17 -3 1 1 1
       273 -3 17 -2 1 1 1
       274 -3 17 -1 1 1 1
       275 -3 17 0 1 1 1
       276 -3 17 1 1 1 1
       277 -3 17 2 1 1 1
       278 -3 17 3 1 1 1
       279 -2 17 -4 1 1 1
       280 -2 17 -3 1 1 1
       281 -2 17 -2 1 1 1
       282 -2 17 -1 1 1 1
       283 -2 17 0 1 1 1
       284 -2 17 1 1 1 1
       285 -2 17 2 1 1 1
       286 -2 17 3 1 1 1
       287 -1 17 -4 1 1 1
       288 -1 17 -3 1 1 1
       289 -1 17 -2 1 1 1
       290 -1 17 -1 1 1 1
       291 -1 17 0 1 1 1
       292 -1 17 1 1 1 1
       293 -1 17 2 1 1 1
       294 -1 17 3 1 1 1
       295 0 17 -4 1 1 1
       296 0 17 -3 1 1 1
       297 0 17 -2 1 1 1
       298 0 17 -1 1 1 1
       299 0 17 0 1 1 1
       300 0 17 1 1 1 1
       301 0 17 2 1 1 1
       302 0 17 3 1 1 1
       303 1 17 -4 1 1 1
       304 1 17 -3 1 1 1
       305 1 17 -2 1 1 1
       306 1 17 -1 1 1 1
       307 1 17 0 1 1 1
       308 1 17 1 1 1 1
       309 1 17 2 1 1 1
       310 1 17 3 1 1 1
       311 2 17 -4 1 1 1
       312 2 17 -3 1 1 1
       313 2 17 -2 1 1 1
       314 2 17 -1 1 1 1
       315 2 17 0 1 1 1
       316 2 17 1 1 1 1
       317 2 17 2 1 1 1
       318 2 17 3 1 1 1
       319 3 17 -3 1 1 1
       320 3 17 -2 1 1 1
       321 3 17 -1 1 1 1
       322 3 17 0 1 1 1
       323 3 17 1 1 1 1
       324 3 17 2 1 1 1
       325 -4 18 -2 1 1 1
       326 -4 18 -1 1 1 1
       327 -4 18 0 1 1 1
       328 -4 18 1 1 1 1
       329 -3 18 -3 1 1 1
       330 -3 18 -2 1 1 1
       331 -3 18 -1 1 1 1
       332 -3 18 0 1 1 1
       333 -3 18 1 1 1 1
       334 -3 18 2 1 1 1
       335 -2 18 -4 1 1 1
       336 -2 18 -3 1 1 1
       337 -2 18 -2 1 1 1
       338 -2 18 -1 1 1 1
       339 -2 18 0 1 1 1
       340 -2 18 1 1 1 1
       341 -2 18 2 1 1 1
       342 -2 18 3 1 1 1
       343 -1 18 -4 1 1 1
       344 -1 18 -3 1 1 1
       345 -1 18 -2 1 1 1
       346 -1 18 -1 1 1 1
       347 -1 18 0 1 1 1
       348 -1 18 1 1 1 1
       349 -1 18 2 1 1 1
       350 -1 18 3 1 1 1
       351 0 18 -4 1 1 1
       352 0 18 -3 1 1 1
       353 0 18 -2 1 1 1
       354 0 18 -1 1 1 1
       355 0 18 0 1 1 1
       356 0 18 1 1 1 1
       357 0 18 2 1 1 1
       358 0 18 3 1 1 1
       359 1 18 -4 1 1 1
       360 1 18 -3 1 1 1
       361 1 18 -2 1 1 1
       362 1 18 -1 1 1 1
       363 1 18 0 1 1 1
       364 1 18 1 1 1 1
       365 1 18 2 1 1 1
       366 1 18 3 1 1 1
       367 2 18 -3 1 1 1
       368 2 18 -2 1 1 1
       369 2 18 -1 1 1 1
       370 2 18 0 1 1 1
       371 2 18 1 1 1 1
       372 2 18 2 1 1 1
       373 3 18 -2 1 1 1
       374 3 18 -1 1 1 1
       375 3 18 0 1 1 1
       376 3 18 1 1 1 1
       377 -3 19 -2 1 1 1
       378 -3 19 -1 1 1 1
       379 -3 19 0 1 1 1
       380 -3 19 1 1 1 1
       381 -2 19 -3 1 1 1
       382 -2 19 -2 1 1 1
       383 -2 19 -1 1 1 1
       384 -2 19 0 1 1 1
       385 -2 19 1 1 1 1
       386 -2 19 2 1 1 1
       387 -1 19 -3 1 1 1
       388 -1 19 -2 1 1 1
       389 -1 19 -1 1 1 1
       390 -1 19 0 1 1 1
       391 -1 19 1 1 1 1
       392 -1 19 2 1 1 1
       393 0 19 -3 1 1 1
